Name,Join name to ingredient,ID,Default_unit,Alternative name,Portions,Stocks,Join to units,Shopping portion1,Shopping portion2,Shopping portion3,Shopping portion4 (Manual entry),Shopping link
Lemon,Lemon,126,,,200,,pieces,1,2,3,,https://www.ocado.com/search?entry=lemon
Egg-white,Egg-white,41,,egg,169,,pieces,6,10,12,,https://www.ocado.com/search?entry=eggs
Celery,Celery,24,,,81,,pieces,2,3,4,,https://www.ocado.com/search?entry=celery
Capsicum,Capsicum,21,,Bell Pepper,162,,pieces,2,3,4,,https://www.ocado.com/search?entry=bell%20pepper
Garlic,Garlic,47,clove,,"2,19,33,38,93,209",,pieces,2,3,4,,https://www.ocado.com/search?entry=garlic%20clove
Butter Lettuce,Butter Lettuce,18,,Letuce,128,,pieces,1,2,3,,https://www.ocado.com/search?entry=lettuce
Onion,Onion,69,,,"82,163,175,210",,pieces,2,3,4,,https://www.ocado.com/search?entry=onion
Coral lettuce,Coral lettuce,120,,Lettuce,165,,pieces,1,2,3,,https://www.ocado.com/search?entry=lettuce
Lettuce,Lettuce,61,,,,,pieces,1,2,3,,https://www.ocado.com/search?entry=lettuce
Egg yolk,Egg yolk,40,,egg,73,,pieces,6,10,12,,https://www.ocado.com/search?entry=eggs
Pepper,Pepper,77,teaspoon,black pepper,"5,14,70,84,97,115,126,137,142,173,197,220,223",,pieces,35,40,100,,https://www.ocado.com/search?entry=black%20pepper
Eggplant,Eggplant,42,,Aubergine,108,,pieces,1,2,3,,https://www.ocado.com/search?entry=aubergine
Avocado,Avocado,6,,,34,,pieces,1,2,3,,https://www.ocado.com/search?entry=avocado
Yellow onion,Yellow onion,111,,Onion,92,,pieces,2,3,4,,https://www.ocado.com/search?entry=onion
Egg,Egg,38,,,"10,40,59,72,202",,pieces,6,10,12,,https://www.ocado.com/search?entry=eggs
